Number,Major 1,Major 2,Terms
193,Mechanical Engineering BS,,3
194,Letters & Sci Undeclared UG,,3
195,Letters & Sci Undeclared UG,,3
196,Civil Engineering BS,,3
197,Mechanical Engineering BS,,3
198,Mechanical Engineering BS,,3
199,Bioengineering BS,,3
200,Letters & Sci Undeclared UG,,3
201,Engineering Undeclared UG,,3
202,Engineering Undeclared UG,,3
203,Civil Engineering BS,,3
204,Chemical Engineering BS,,3
205,Aerospace Engineering BS,,3
206,Letters & Sci Undeclared UG,,3
207,Bioengineering BS,,3
208,Engineering Undeclared UG,,3
209,Letters & Sci Undeclared UG,,1
210,Cognitive Science BA,,7
211,Applied Mathematics BA,,7
212,Civil Engineering BS,,7
213,Bioengineering BS,,1
214,Nuclear Engineering BS,,1
215,Mechanical Engineering BS,,1
216,Mechanical Engineering BS,,1
217,Mechanical Engineering BS,,1
218,Mechanical Engineering BS,,1
219,Business Administration BS,Civil Engineering BS,1
220,Letters & Sci Undeclared UG,,1
221,Mechanical Engineering BS,,1
222,Chemical Engineering BS,,1
223,Mechanical Engineering BS,,1
224,Engineering Undeclared UG,,1
225,Business Administration BS,Civil Engineering BS,1
226,Letters & Sci Undeclared UG,,1
227,Environmental Engineering BS,,1
228,Eng Math & Statistics BS,,1
229,Nuclear Engineering BS,,1
230,Civil Engineering BS,,1
231,Chemical Engineering BS,,1
232,Energy Engineering BS,,1
233,Chemical Engineering BS,,1
234,CNR Undeclared UG,,1
235,Energy Engineering BS,,1
236,Bioengineering BS,,1
237,Environmental Engin Sci BS,,1
238,Engineering Undeclared UG,,1
239,Chemical Engineering BS,,1
240,Chemical Engineering BS,,1
241,Mechanical Engineering BS,,1
242,Environmental Engineering BS,,1
243,Chemical Engineering BS,,1
244,Mechanical Engineering BS,,1
245,Chemical Engineering BS,,1
246,Chemical Engineering BS,,1
247,Materials Science & Eng BS,,1
248,Chemical Engineering BS,,1
249,Electrical & Computer Engin BS,,1
250,Mechanical Engineering BS,,1
251,Mechanical Engineering BS,,1
252,Mechanical Engineering BS,,1
253,Letters & Sci Undeclared UG,,1
254,Engineering Physics BS,,1
255,Letters & Sci Undeclared UG,,1
256,Nuclear Engineering BS,,1
257,Nuclear Engineering BS,,1
258,Chemical Engineering BS,,1
259,Engineering Undeclared UG,,1
260,Chemical Engineering BS,,1
261,Environmental Engineering BS,,1
262,Nuclear Engineering BS,,1
263,Materials Science & Eng BS,,1
264,Mechanical Engineering BS,,1
265,Mechanical Engineering BS,,1
266,Mechanical Engineering BS,,1
267,Mechanical Engineering BS,,1
268,Mechanical Engineering BS,,1
269,Industrial Eng & Ops Rsch BS,,1
270,Bioengineering BS,,1
271,Mechanical Engineering BS,,1
272,Letters & Sci Undeclared UG,,1
273,Mechanical Engineering BS,,1
274,Mechanical Engineering BS,,1
275,Chemical Engineering BS,,1
276,Mechanical Engineering BS,,1
277,Chemical Engineering BS,,1
278,Civil Engineering BS,,1
279,Bioengineering BS,,1
280,Materials Science & Eng BS,,1
281,Chemical Engineering BS,,1
